,OVERALL,Player Name,SEASON 1,SEASON 2,SEASON 3,SEASON 4,SEASON 5,SEASON 6,SEASON 7,Team
TOTAL RAID POINTS,0,sunil-dubile,,,,,,,0,Bengal Warriors
AVERAGE RAID POINTS / MATCH,0,sunil-dubile,,,,,,,0,Bengal Warriors
NO OF SUPER TACKLES,0,sunil-dubile,,,,,,,0,Bengal Warriors
HIGH 5S,0,sunil-dubile,,,,,,,0,Bengal Warriors
TOTAL TACKLE POINTS,0,sunil-dubile,,,,,,,0,Bengal Warriors
AVERAGE TACKLE / MATCH,0,sunil-dubile,,,,,,,0,Bengal Warriors
TOTAL TACKLES,5,sunil-dubile,,,,,,,5,Bengal Warriors
TACKLE STRIKE RATE,0,sunil-dubile,,,,,,,0,Bengal Warriors
MATCHES PLAYED,104,pardeep-narwal,,6,16,16,26,21,19,Patna Pirates
TOTAL POINTS EARNED,1108,pardeep-narwal,,9,121,133,369,233,243,Patna Pirates
MOST POINTS IN A MATCH,34,pardeep-narwal,,4,24,18,34,27,26,Patna Pirates
NOT OUT %,77.21 %,pardeep-narwal,,68.42 %,75.93 %,76.04 %,80.71 %,76.21 %,75.19 %,Patna Pirates
TOTAL RAIDS,1848,pardeep-narwal,,38,187,263,586,391,383,Patna Pirates
SUCCESSFUL RAIDS %,59.57,pardeep-narwal,,23.68,62.03,49.8,62.96,59.59,63.44,Patna Pirates
NO OF SUPER RAIDS,50,pardeep-narwal,,1,10,3,18,6,12,Patna Pirates
SUPER 10S,57,pardeep-narwal,,0,5,5,19,15,13,Patna Pirates
TOTAL RAID POINTS,1101,pardeep-narwal,,9,116,131,369,233,243,Patna Pirates
AVERAGE RAID POINTS / MATCH,10.58,pardeep-narwal,,1.5,7.25,8.18,14.19,11.09,12.78,Patna Pirates
NO OF SUPER TACKLES,1,pardeep-narwal,,0,0,1,0,0,0,Patna Pirates
HIGH 5S,0,pardeep-narwal,,0,0,0,0,0,0,Patna Pirates
TOTAL TACKLE POINTS,7,pardeep-narwal,,0,5,2,0,0,0,Patna Pirates
AVERAGE TACKLE / MATCH,0.05,pardeep-narwal,,0,0.31,0.06,0,0,0,Patna Pirates
TOTAL TACKLES,34,pardeep-narwal,,2,13,6,10,1,2,Patna Pirates
TACKLE STRIKE RATE,20.58 %,pardeep-narwal,,0,38.46 %,33.33 %,0,0,0,Patna Pirates
MATCHES PLAYED,7,ashish,,,,,,,7,Patna Pirates
TOTAL POINTS EARNED,5,ashish,,,,,,,5,Patna Pirates
MOST POINTS IN A MATCH,2,ashish,,,,,,,2,Patna Pirates
NOT OUT %,50 %,ashish,,,,,,,50 %,Patna Pirates
TOTAL RAIDS,16,ashish,,,,,,,16,Patna Pirates
SUCCESSFUL RAIDS %,31.25,ashish,,,,,,,31.25,Patna Pirates
NO OF SUPER RAIDS,0,ashish,,,,,,,0,Patna Pirates
SUPER 10S,0,ashish,,,,,,,0,Patna Pirates
TOTAL RAID POINTS,5,ashish,,,,,,,5,Patna Pirates
AVERAGE RAID POINTS / MATCH,0.71,ashish,,,,,,,0.71,Patna Pirates
NO OF SUPER TACKLES,0,ashish,,,,,,,0,Patna Pirates
HIGH 5S,0,ashish,,,,,,,0,Patna Pirates
TOTAL TACKLE POINTS,0,ashish,,,,,,,0,Patna Pirates
AVERAGE TACKLE / MATCH,0,ashish,,,,,,,0,Patna Pirates
TOTAL TACKLES,2,ashish,,,,,,,2,Patna Pirates
TACKLE STRIKE RATE,0,ashish,,,,,,,0,Patna Pirates
MATCHES PLAYED,103,jang-kun-lee,11,14,15,11,21,18,13,Patna Pirates
TOTAL POINTS EARNED,483,jang-kun-lee,57,50,90,65,89,82,50,Patna Pirates
MOST POINTS IN A MATCH,15,jang-kun-lee,15,12,13,13,9,12,8,Patna Pirates
NOT OUT %,77.96 %,jang-kun-lee,71.08 %,72.85 %,83.15 %,76.66 %,78.77 %,77.77 %,81.08 %,Patna Pirates
TOTAL RAIDS,1021,jang-kun-lee,83,140,184,120,212,171,111,Patna Pirates
SUCCESSFUL RAIDS %,45.05,jang-kun-lee,66.26,34.28,42.93,50.83,41.98,46.19,44.14,Patna Pirates
NO OF SUPER RAIDS,14,jang-kun-lee,5,3,2,2,0,2,0,Patna Pirates
SUPER 10S,9,jang-kun-lee,2,1,2,2,0,2,0,Patna Pirates
TOTAL RAID POINTS,460,jang-kun-lee,55,48,79,61,89,79,49,Patna Pirates
AVERAGE RAID POINTS / MATCH,4.46,jang-kun-lee,5,3.42,5.26,5.54,4.23,4.38,3.76,Patna Pirates
NO OF SUPER TACKLES,3,jang-kun-lee,0,0,2,0,0,1,0,Patna Pirates
HIGH 5S,0,jang-kun-lee,0,0,0,0,0,0,0,Patna Pirates
TOTAL TACKLE POINTS,23,jang-kun-lee,2,2,11,4,0,3,1,Patna Pirates
AVERAGE TACKLE / MATCH,0.19,jang-kun-lee,0.18,0.14,0.6,0.36,0,0.11,0.07,Patna Pirates
TOTAL TACKLES,99,jang-kun-lee,14,15,20,17,12,11,10,Patna Pirates
TACKLE STRIKE RATE,23.23 %,jang-kun-lee,14.28 %,13.33 %,55 %,23.52 %,0,27.27 %,10 %,Patna Pirates
MATCHES PLAYED,17,mohammad-esmaeil,,,,,,,17,Patna Pirates
TOTAL POINTS EARNED,38,mohammad-esmaeil,,,,,,,38,Patna Pirates
MOST POINTS IN A MATCH,9,mohammad-esmaeil,,,,,,,9,Patna Pirates
NOT OUT %,75.7 %,mohammad-esmaeil,,,,,,,75.7 %,Patna Pirates
TOTAL RAIDS,107,mohammad-esmaeil,,,,,,,107,Patna Pirates
SUCCESSFUL RAIDS %,28.97,mohammad-esmaeil,,,,,,,28.97,Patna Pirates
NO OF SUPER RAIDS,0,mohammad-esmaeil,,,,,,,0,Patna Pirates
SUPER 10S,0,mohammad-esmaeil,,,,,,,0,Patna Pirates
TOTAL RAID POINTS,31,mohammad-esmaeil,,,,,,,31,Patna Pirates
AVERAGE RAID POINTS / MATCH,1.82,mohammad-esmaeil,,,,,,,1.82,Patna Pirates
NO OF SUPER TACKLES,2,mohammad-esmaeil,,,,,,,2,Patna Pirates
HIGH 5S,0,mohammad-esmaeil,,,,,,,0,Patna Pirates
TOTAL TACKLE POINTS,7,mohammad-esmaeil,,,,,,,7,Patna Pirates
AVERAGE TACKLE / MATCH,0.29,mohammad-esmaeil,,,,,,,0.29,Patna Pirates
TOTAL TACKLES,19,mohammad-esmaeil,,,,,,,19,Patna Pirates
TACKLE STRIKE RATE,36.84 %,mohammad-esmaeil,,,,,,,36.84 %,Patna Pirates
MATCHES PLAYED,0,mohit,,,,,,,0,Patna Pirates
TOTAL POINTS EARNED,0,mohit,,,,,,,0,Patna Pirates
MOST POINTS IN A MATCH,0,mohit,,,,,,,0,Patna Pirates
NOT OUT %,0,mohit,,,,,,,0,Patna Pirates
TOTAL RAIDS,0,mohit,,,,,,,0,Patna Pirates
SUCCESSFUL RAIDS %,0,mohit,,,,,,,0,Patna Pirates
NO OF SUPER RAIDS,0,mohit,,,,,,,0,Patna Pirates
SUPER 10S,0,mohit,,,,,,,0,Patna Pirates
TOTAL RAID POINTS,0,mohit,,,,,,,0,Patna Pirates
AVERAGE RAID POINTS / MATCH,0,mohit,,,,,,,0,Patna Pirates
NO OF SUPER TACKLES,0,mohit,,,,,,,0,Patna Pirates
HIGH 5S,0,mohit,,,,,,,0,Patna Pirates
TOTAL TACKLE POINTS,0,mohit,,,,,,,0,Patna Pirates
AVERAGE TACKLE / MATCH,0,mohit,,,,,,,0,Patna Pirates
TOTAL TACKLES,0,mohit,,,,,,,0,Patna Pirates
TACKLE STRIKE RATE,0,mohit,,,,,,,0,Patna Pirates
MATCHES PLAYED,52,monu,,,,,19,14,19,Patna Pirates
TOTAL POINTS EARNED,142,monu,,,,,49,57,36,Patna Pirates
MOST POINTS IN A MATCH,7,monu,,,,,6,7,5,Patna Pirates
NOT OUT %,75 %,monu,,,,,79.22 %,70.16 %,79.36 %,Patna Pirates
TOTAL RAIDS,264,monu,,,,,77,124,63,Patna Pirates
SUCCESSFUL RAIDS %,28.4,monu,,,,,24.67,36.29,17.46,Patna Pirates
NO OF SUPER RAIDS,2,monu,,,,,1,1,0,Patna Pirates
SUPER 10S,0,monu,,,,,0,0,0,Patna Pirates
TOTAL RAID POINTS,75,monu,,,,,19,45,11,Patna Pirates
AVERAGE RAID POINTS / MATCH,1.44,monu,,,,,1,3.21,0.57,Patna Pirates
NO OF SUPER TACKLES,10,monu,,,,,1,2,7,Patna Pirates
HIGH 5S,1,monu,,,,,1,0,0,Patna Pirates
TOTAL TACKLE POINTS,67,monu,,,,,30,12,25,Patna Pirates
AVERAGE TACKLE / MATCH,1.09,monu,,,,,1.52,0.71,0.94,Patna Pirates
TOTAL TACKLES,119,monu,,,,,54,23,42,Patna Pirates
TACKLE STRIKE RATE,56.3 %,monu,,,,,55.55 %,52.17 %,59.52 %,Patna Pirates
MATCHES PLAYED,1,naveen,,,,,,0,1,Patna Pirates
TOTAL POINTS EARNED,0,naveen,,,,,,0,0,Patna Pirates
MOST POINTS IN A MATCH,0,naveen,,,,,,0,0,Patna Pirates
NOT OUT %,33.33 %,naveen,,,,,,0,33.33 %,Patna Pirates
TOTAL RAIDS,3,naveen,,,,,,0,3,Patna Pirates
SUCCESSFUL RAIDS %,0,naveen,,,,,,0,0,Patna Pirates
NO OF SUPER RAIDS,0,naveen,,,,,,0,0,Patna Pirates
SUPER 10S,0,naveen,,,,,,0,0,Patna Pirates
TOTAL RAID POINTS,0,naveen,,,,,,0,0,Patna Pirates
AVERAGE RAID POINTS / MATCH,0,naveen,,,,,,0,0,Patna Pirates
NO OF SUPER TACKLES,0,naveen,,,,,,0,0,Patna Pirates
HIGH 5S,0,naveen,,,,,,0,0,Patna Pirates
TOTAL TACKLE POINTS,0,naveen,,,,,,0,0,Patna Pirates
AVERAGE TACKLE / MATCH,0,naveen,,,,,,0,0,Patna Pirates
TOTAL TACKLES,0,naveen,,,,,,0,0,Patna Pirates
TACKLE STRIKE RATE,0,naveen,,,,,,0,0,Patna Pirates
MATCHES PLAYED,6,purna-singh,,,,,,0,6,Patna Pirates
TOTAL POINTS EARNED,4,purna-singh,,,,,,0,4,Patna Pirates
MOST POINTS IN A MATCH,1,purna-singh,,,,,,0,1,Patna Pirates
NOT OUT %,75 %,purna-singh,,,,,,0,75 %,Patna Pirates
TOTAL RAIDS,12,purna-singh,,,,,,0,12,Patna Pirates
SUCCESSFUL RAIDS %,33.33,purna-singh,,,,,,0,33.33,Patna Pirates
NO OF SUPER RAIDS,0,purna-singh,,,,,,0,0,Patna Pirates
SUPER 10S,0,purna-singh,,,,,,0,0,Patna Pirates
TOTAL RAID POINTS,4,purna-singh,,,,,,0,4,Patna Pirates
AVERAGE RAID POINTS / MATCH,0.66,purna-singh,,,,,,0,0.66,Patna Pirates
NO OF SUPER TACKLES,0,purna-singh,,,,,,0,0,Patna Pirates
HIGH 5S,0,purna-singh,,,,,,0,0,Patna Pirates
TOTAL TACKLE POINTS,0,purna-singh,,,,,,0,0,Patna Pirates
AVERAGE TACKLE / MATCH,0,purna-singh,,,,,,0,0,Patna Pirates
TOTAL TACKLES,2,purna-singh,,,,,,0,2,Patna Pirates
TACKLE STRIKE RATE,0,purna-singh,,,,,,0,0,Patna Pirates
MATCHES PLAYED,0,rajveersinh-chavan,,,,,,,0,Patna Pirates
TOTAL POINTS EARNED,0,rajveersinh-chavan,,,,,,,0,Patna Pirates
MOST POINTS IN A MATCH,0,rajveersinh-chavan,,,,,,,0,Patna Pirates
NOT OUT %,0,rajveersinh-chavan,,,,,,,0,Patna Pirates
TOTAL RAIDS,0,rajveersinh-chavan,,,,,,,0,Patna Pirates
SUCCESSFUL RAIDS %,0,rajveersinh-chavan,,,,,,,0,Patna Pirates
NO OF SUPER RAIDS,0,rajveersinh-chavan,,,,,,,0,Patna Pirates
SUPER 10S,0,rajveersinh-chavan,,,,,,,0,Patna Pirates
TOTAL RAID POINTS,0,rajveersinh-chavan,,,,,,,0,Patna Pirates
AVERAGE RAID POINTS / MATCH,0,rajveersinh-chavan,,,,,,,0,Patna Pirates
NO OF SUPER TACKLES,0,rajveersinh-chavan,,,,,,,0,Patna Pirates
HIGH 5S,0,rajveersinh-chavan,,,,,,,0,Patna Pirates
TOTAL TACKLE POINTS,0,rajveersinh-chavan,,,,,,,0,Patna Pirates
AVERAGE TACKLE / MATCH,0,rajveersinh-chavan,,,,,,,0,Patna Pirates
TOTAL TACKLES,0,rajveersinh-chavan,,,,,,,0,Patna Pirates
TACKLE STRIKE RATE,0,rajveersinh-chavan,,,,,,,0,Patna Pirates
MATCHES PLAYED,0,mahendra-choudhary,,,,,,,0,Patna Pirates
TOTAL POINTS EARNED,0,mahendra-choudhary,,,,,,,0,Patna Pirates
MOST POINTS IN A MATCH,0,mahendra-choudhary,,,,,,,0,Patna Pirates
NOT OUT %,0,mahendra-choudhary,,,,,,,0,Patna Pirates
TOTAL RAIDS,0,mahendra-choudhary,,,,,,,0,Patna Pirates
SUCCESSFUL RAIDS %,0,mahendra-choudhary,,,,,,,0,Patna Pirates
NO OF SUPER RAIDS,0,mahendra-choudhary,,,,,,,0,Patna Pirates
SUPER 10S,0,mahendra-choudhary,,,,,,,0,Patna Pirates
TOTAL RAID POINTS,0,mahendra-choudhary,,,,,,,0,Patna Pirates
AVERAGE RAID POINTS / MATCH,0,mahendra-choudhary,,,,,,,0,Patna Pirates
NO OF SUPER TACKLES,0,mahendra-choudhary,,,,,,,0,Patna Pirates
HIGH 5S,0,mahendra-choudhary,,,,,,,0,Patna Pirates
TOTAL TACKLE POINTS,0,mahendra-choudhary,,,,,,,0,Patna Pirates
AVERAGE TACKLE / MATCH,0,mahendra-choudhary,,,,,,,0,Patna Pirates
TOTAL TACKLES,0,mahendra-choudhary,,,,,,,0,Patna Pirates
TACKLE STRIKE RATE,0,mahendra-choudhary,,,,,,,0,Patna Pirates
MATCHES PLAYED,36,neeraj-kumar,,,,,17,,19,Patna Pirates
TOTAL POINTS EARNED,64,neeraj-kumar,,,,,13,,51,Patna Pirates
MOST POINTS IN A MATCH,11,neeraj-kumar,,,,,4,,11,Patna Pirates
NOT OUT %,60 %,neeraj-kumar,,,,,0,,75 %,Patna Pirates
TOTAL RAIDS,5,neeraj-kumar,,,,,1,,4,Patna Pirates
SUCCESSFUL RAIDS %,0,neeraj-kumar,,,,,0,,0,Patna Pirates
NO OF SUPER RAIDS,0,neeraj-kumar,,,,,0,,0,Patna Pirates
SUPER 10S,0,neeraj-kumar,,,,,0,,0,Patna Pirates
TOTAL RAID POINTS,0,neeraj-kumar,,,,,0,,0,Patna Pirates
AVERAGE RAID POINTS / MATCH,0,neeraj-kumar,,,,,0,,0,Patna Pirates
NO OF SUPER TACKLES,5,neeraj-kumar,,,,,1,,4,Patna Pirates
HIGH 5S,3,neeraj-kumar,,,,,0,,3,Patna Pirates
TOTAL TACKLE POINTS,64,neeraj-kumar,,,,,13,,51,Patna Pirates
AVERAGE TACKLE / MATCH,1.63,neeraj-kumar,,,,,0.7,,2.47,Patna Pirates
TOTAL TACKLES,157,neeraj-kumar,,,,,49,,108,Patna Pirates
TACKLE STRIKE RATE,40.76 %,neeraj-kumar,,,,,26.53 %,,47.22 %,Patna Pirates
MATCHES PLAYED,67,jaideep,,,,,26,22,19,Patna Pirates
TOTAL POINTS EARNED,177,jaideep,,,,,71,58,48,Patna Pirates
MOST POINTS IN A MATCH,7,jaideep,,,,,7,5,7,Patna Pirates
NOT OUT %,92.3 %,jaideep,,,,,100 %,87.5 %,0,Patna Pirates
TOTAL RAIDS,13,jaideep,,,,,5,8,0,Patna Pirates
SUCCESSFUL RAIDS %,0,jaideep,,,,,0,0,0,Patna Pirates
NO OF SUPER RAIDS,0,jaideep,,,,,0,0,0,Patna Pirates
SUPER 10S,0,jaideep,,,,,0,0,0,Patna Pirates
TOTAL RAID POINTS,0,jaideep,,,,,0,0,0,Patna Pirates
AVERAGE RAID POINTS / MATCH,0,jaideep,,,,,0,0,0,Patna Pirates
NO OF SUPER TACKLES,10,jaideep,,,,,5,2,3,Patna Pirates
HIGH 5S,12,jaideep,,,,,5,4,3,Patna Pirates
TOTAL TACKLE POINTS,177,jaideep,,,,,71,58,48,Patna Pirates
AVERAGE TACKLE / MATCH,2.49,jaideep,,,,,2.53,2.54,2.36,Patna Pirates
TOTAL TACKLES,392,jaideep,,,,,154,134,104,Patna Pirates
TACKLE STRIKE RATE,45.15 %,jaideep,,,,,46.1 %,43.28 %,46.15 %,Patna Pirates
MATCHES PLAYED,46,jawahar,,,,6,18,15,7,Patna Pirates
TOTAL POINTS EARNED,65,jawahar,,,,2,35,23,5,Patna Pirates
MOST POINTS IN A MATCH,5,jawahar,,,,1,4,5,2,Patna Pirates
NOT OUT %,70.96 %,jawahar,,,,0,78.26 %,60 %,100 %,Patna Pirates
TOTAL RAIDS,31,jawahar,,,,2,23,5,1,Patna Pirates
SUCCESSFUL RAIDS %,29.03,jawahar,,,,0,26.08,60,0,Patna Pirates
NO OF SUPER RAIDS,0,jawahar,,,,0,0,0,0,Patna Pirates
SUPER 10S,0,jawahar,,,,0,0,0,0,Patna Pirates
TOTAL RAID POINTS,9,jawahar,,,,0,6,3,0,Patna Pirates
AVERAGE RAID POINTS / MATCH,0.19,jawahar,,,,0,0.33,0.2,0,Patna Pirates
NO OF SUPER TACKLES,6,jawahar,,,,0,3,3,0,Patna Pirates
HIGH 5S,2,jawahar,,,,0,0,2,0,Patna Pirates
TOTAL TACKLE POINTS,56,jawahar,,,,2,29,20,5,Patna Pirates
AVERAGE TACKLE / MATCH,1.08,jawahar,,,,0.33,1.44,1.13,0.71,Patna Pirates
TOTAL TACKLES,158,jawahar,,,,12,69,59,18,Patna Pirates
TACKLE STRIKE RATE,35.44 %,jawahar,,,,16.66 %,42.02 %,33.89 %,27.77 %,Patna Pirates
MATCHES PLAYED,3,amit-kumar,,,,,,,3,Patna Pirates
TOTAL POINTS EARNED,5,amit-kumar,,,,,,,5,Patna Pirates
MOST POINTS IN A MATCH,4,amit-kumar,,,,,,,4,Patna Pirates
NOT OUT %,75 %,amit-kumar,,,,,,,75 %,Patna Pirates
TOTAL RAIDS,8,amit-kumar,,,,,,,8,Patna Pirates
SUCCESSFUL RAIDS %,62.5,amit-kumar,,,,,,,62.5,Patna Pirates
NO OF SUPER RAIDS,1,amit-kumar,,,,,,,1,Patna Pirates
SUPER 10S,0,amit-kumar,,,,,,,0,Patna Pirates
TOTAL RAID POINTS,5,amit-kumar,,,,,,,5,Patna Pirates
AVERAGE RAID POINTS / MATCH,1.66,amit-kumar,,,,,,,1.66,Patna Pirates
NO OF SUPER TACKLES,0,amit-kumar,,,,,,,0,Patna Pirates
HIGH 5S,0,amit-kumar,,,,,,,0,Patna Pirates
TOTAL TACKLE POINTS,0,amit-kumar,,,,,,,0,Patna Pirates
AVERAGE TACKLE / MATCH,0,amit-kumar,,,,,,,0,Patna Pirates
TOTAL TACKLES,1,amit-kumar,,,,,,,1,Patna Pirates
TACKLE STRIKE RATE,0,amit-kumar,,,,,,,0,Patna Pirates
MATCHES PLAYED,69,hadi-oshtorak,,4,10,7,16,13,19,Patna Pirates
TOTAL POINTS EARNED,119,hadi-oshtorak,,7,18,13,20,18,43,Patna Pirates
MOST POINTS IN A MATCH,5,hadi-oshtorak,,5,4,5,4,5,5,Patna Pirates
NOT OUT %,86.53 %,hadi-oshtorak,,0,0,0,0,81.81 %,94.73 %,Patna Pirates
TOTAL RAIDS,52,hadi-oshtorak,,1,1,1,0,11,38,Patna Pirates
SUCCESSFUL RAIDS %,28.84,hadi-oshtorak,,0,0,100,0,54.54,21.05,Patna Pirates
NO OF SUPER RAIDS,0,hadi-oshtorak,,0,0,0,0,0,0,Patna Pirates
SUPER 10S,0,hadi-oshtorak,,0,0,0,0,0,0,Patna Pirates
TOTAL RAID POINTS,15,hadi-oshtorak,,0,0,1,0,6,8,Patna Pirates
AVERAGE RAID POINTS / MATCH,0.21,hadi-oshtorak,,0,0,0.14,0,0.46,0.42,Patna Pirates
NO OF SUPER TACKLES,14,hadi-oshtorak,,1,1,3,3,0,6,Patna Pirates
HIGH 5S,3,hadi-oshtorak,,1,0,1,0,0,1,Patna Pirates
TOTAL TACKLE POINTS,104,hadi-oshtorak,,7,18,12,20,12,35,Patna Pirates
AVERAGE TACKLE / MATCH,1.3,hadi-oshtorak,,1.5,1.7,1.28,1.06,0.92,1.52,Patna Pirates
TOTAL TACKLES,237,hadi-oshtorak,,13,40,21,55,29,79,Patna Pirates
TACKLE STRIKE RATE,43.88 %,hadi-oshtorak,,53.84 %,45 %,57.14 %,36.36 %,41.37 %,44.3 %,Patna Pirates
MATCHES PLAYED,5,ravinder,,,,,,,5,Patna Pirates
TOTAL POINTS EARNED,3,ravinder,,,,,,,3,Patna Pirates
MOST POINTS IN A MATCH,3,ravinder,,,,,,,3,Patna Pirates
NOT OUT %,0,ravinder,,,,,,,0,Patna Pirates
TOTAL RAIDS,0,ravinder,,,,,,,0,Patna Pirates
SUCCESSFUL RAIDS %,0,ravinder,,,,,,,0,Patna Pirates
NO OF SUPER RAIDS,0,ravinder,,,,,,,0,Patna Pirates
SUPER 10S,0,ravinder,,,,,,,0,Patna Pirates
TOTAL RAID POINTS,0,ravinder,,,,,,,0,Patna Pirates
AVERAGE RAID POINTS / MATCH,0,ravinder,,,,,,,0,Patna Pirates
NO OF SUPER TACKLES,1,ravinder,,,,,,,1,Patna Pirates
HIGH 5S,0,ravinder,,,,,,,0,Patna Pirates
TOTAL TACKLE POINTS,3,ravinder,,,,,,,3,Patna Pirates
AVERAGE TACKLE / MATCH,0.4,ravinder,,,,,,,0.4,Patna Pirates
TOTAL TACKLES,8,ravinder,,,,,,,8,Patna Pirates
TACKLE STRIKE RATE,37.5 %,ravinder,,,,,,,37.5 %,Patna Pirates
MATCHES PLAYED,0,sahil-mann,,,,,,,0,Patna Pirates
TOTAL POINTS EARNED,0,sahil-mann,,,,,,,0,Patna Pirates
MOST POINTS IN A MATCH,0,sahil-mann,,,,,,,0,Patna Pirates
NOT OUT %,0,sahil-mann,,,,,,,0,Patna Pirates
TOTAL RAIDS,0,sahil-mann,,,,,,,0,Patna Pirates
SUCCESSFUL RAIDS %,0,sahil-mann,,,,,,,0,Patna Pirates
NO OF SUPER RAIDS,0,sahil-mann,,,,,,,0,Patna Pirates
SUPER 10S,0,sahil-mann,,,,,,,0,Patna Pirates
TOTAL RAID POINTS,0,sahil-mann,,,,,,,0,Patna Pirates
AVERAGE RAID POINTS / MATCH,0,sahil-mann,,,,,,,0,Patna Pirates
NO OF SUPER TACKLES,0,sahil-mann,,,,,,,0,Patna Pirates
HIGH 5S,0,sahil-mann,,,,,,,0,Patna Pirates
TOTAL TACKLE POINTS,0,sahil-mann,,,,,,,0,Patna Pirates
AVERAGE TACKLE / MATCH,0,sahil-mann,,,,,,,0,Patna Pirates
TOTAL TACKLES,0,sahil-mann,,,,,,,0,Patna Pirates
TACKLE STRIKE RATE,0,sahil-mann,,,,,,,0,Patna Pirates
MATCHES PLAYED,46,vikas-jaglan,,,,,13,14,19,Patna Pirates
TOTAL POINTS EARNED,78,vikas-jaglan,,,,,13,37,28,Patna Pirates
MOST POINTS IN A MATCH,9,vikas-jaglan,,,,,5,9,6,Patna Pirates
NOT OUT %,78.86 %,vikas-jaglan,,,,,76 %,78.57 %,80.35 %,Patna Pirates
TOTAL RAIDS,123,vikas-jaglan,,,,,25,42,56,Patna Pirates
SUCCESSFUL RAIDS %,34.95,vikas-jaglan,,,,,40,50,21.42,Patna Pirates
NO OF SUPER RAIDS,2,vikas-jaglan,,,,,1,1,0,Patna Pirates
SUPER 10S,0,vikas-jaglan,,,,,0,0,0,Patna Pirates
TOTAL RAID POINTS,43,vikas-jaglan,,,,,10,21,12,Patna Pirates
AVERAGE RAID POINTS / MATCH,0.93,vikas-jaglan,,,,,0.76,1.5,0.63,Patna Pirates
NO OF SUPER TACKLES,0,vikas-jaglan,,,,,0,0,0,Patna Pirates
HIGH 5S,0,vikas-jaglan,,,,,0,0,0,Patna Pirates
TOTAL TACKLE POINTS,35,vikas-jaglan,,,,,3,16,16,Patna Pirates
AVERAGE TACKLE / MATCH,0.76,vikas-jaglan,,,,,0.23,1.14,0.84,Patna Pirates
TOTAL TACKLES,99,vikas-jaglan,,,,,9,37,53,Patna Pirates
TACKLE STRIKE RATE,35.35 %,vikas-jaglan,,,,,33.33 %,43.24 %,30.18 %,Patna Pirates
MATCHES PLAYED,92,surjeet-singh,,,12,14,24,23,19,Puneri Paltan
TOTAL POINTS EARNED,275,surjeet-singh,,,49,37,79,57,53,Puneri Paltan
MOST POINTS IN A MATCH,9,surjeet-singh,,,9,5,8,7,7,Puneri Paltan
NOT OUT %,96.99 %,surjeet-singh,,,100 %,100 %,98.07 %,96.29 %,94.44 %,Puneri Paltan
TOTAL RAIDS,133,surjeet-singh,,,6,3,52,54,18,Puneri Paltan
SUCCESSFUL RAIDS %,6.76,surjeet-singh,,,16.66,0,5.76,5.55,11.11,Puneri Paltan
NO OF SUPER RAIDS,0,surjeet-singh,,,0,0,0,0,0,Puneri Paltan
SUPER 10S,0,surjeet-singh,,,0,0,0,0,0,Puneri Paltan
TOTAL RAID POINTS,9,surjeet-singh,,,1,0,3,3,2,Puneri Paltan
AVERAGE RAID POINTS / MATCH,0.09,surjeet-singh,,,0.08,0,0.12,0.13,0.1,Puneri Paltan
NO OF SUPER TACKLES,16,surjeet-singh,,,1,4,4,2,5,Puneri Paltan
HIGH 5S,25,surjeet-singh,,,5,2,9,4,5,Puneri Paltan
TOTAL TACKLE POINTS,266,surjeet-singh,,,48,37,76,54,51,Puneri Paltan
AVERAGE TACKLE / MATCH,2.71,surjeet-singh,,,3.91,2.35,3,2.26,2.42,Puneri Paltan
TOTAL TACKLES,526,surjeet-singh,,,75,73,146,129,103,Puneri Paltan
TACKLE STRIKE RATE,50.57 %,surjeet-singh,,,64 %,50.68 %,52.05 %,41.86 %,49.51 %,Puneri Paltan
MATCHES PLAYED,5,amit-kumar,,,,,,,5,Puneri Paltan
TOTAL POINTS EARNED,13,amit-kumar,,,,,,,13,Puneri Paltan
MOST POINTS IN A MATCH,5,amit-kumar,,,,,,,5,Puneri Paltan
NOT OUT %,56 %,amit-kumar,,,,,,,56 %,Puneri Paltan
TOTAL RAIDS,25,amit-kumar,,,,,,,25,Puneri Paltan
SUCCESSFUL RAIDS %,44,amit-kumar,,,,,,,44,Puneri Paltan
NO OF SUPER RAIDS,0,amit-kumar,,,,,,,0,Puneri Paltan
SUPER 10S,0,amit-kumar,,,,,,,0,Puneri Paltan
TOTAL RAID POINTS,11,amit-kumar,,,,,,,11,Puneri Paltan
AVERAGE RAID POINTS / MATCH,2.2,amit-kumar,,,,,,,2.2,Puneri Paltan
NO OF SUPER TACKLES,1,amit-kumar,,,,,,,1,Puneri Paltan
HIGH 5S,0,amit-kumar,,,,,,,0,Puneri Paltan
TOTAL TACKLE POINTS,2,amit-kumar,,,,,,,2,Puneri Paltan
AVERAGE TACKLE / MATCH,0.2,amit-kumar,,,,,,,0.2,Puneri Paltan
TOTAL TACKLES,2,amit-kumar,,,,,,,2,Puneri Paltan
TACKLE STRIKE RATE,100 %,amit-kumar,,,,,,,100 %,Puneri Paltan
MATCHES PLAYED,38,darshan-kadian,,,2,,16,14,6,Puneri Paltan
TOTAL POINTS EARNED,99,darshan-kadian,,,2,,40,50,7,Puneri Paltan
MOST POINTS IN A MATCH,10,darshan-kadian,,,2,,8,10,3,Puneri Paltan
NOT OUT %,73.5 %,darshan-kadian,,,0,,63.88 %,79.43 %,70 %,Puneri Paltan
TOTAL RAIDS,234,darshan-kadian,,,1,,72,141,20,Puneri Paltan
